Title,Director,Cast,Genre,Producer,Vote,Vote Counts,Year,Overview
Peiyena Peiyum Kurudhi,Sudhakar Shanmugam,"Jana, Seenivasan, Harish, Ganeshan, Robin",Thriller,Lion Hunters Productions,4.5,28,2017,"A thriller film directed by Sudhakar Shanmugam, starring Ganeshan and Jana in the lead roles."
Soorathengai,Sanjeev Srinivas Kanna,"Arvind Vinod, Eugina Samanthi, Theni Murugan",Action masala,Maruthi Films International,5.2,35,2017,"Soorathengai is the Tamil film featuring Guru Aravind, Samanthi, Theni Murugan and Kadhal Kamakshi. Sanjeev Srinivasan directed the film and Shakthi produced the film under the banner Maruthi Films International. Mahesh Panchanathan is the music composer."
Unnai Thottu Kolla Vaa,Krishnakumar,"Powerstar Srinivasan, Livingston, Ganja Karuppu",Horror,Kavibharathi Creations,4.6,40,2017,"The movie is directed by Andal Ramesh and featured Anu Mohan, Nellai Siva and Anjana Sukhani as lead characters. Other popular actors who were roped in for Unnai Thottu Kolla Vaa are G. Silambarasan."
Bairavaa,Bharathan,"Vijay, Keerthy Suresh, Sathish, Jagapati Babu, Daniel Balaji",Action masala,Vijaya Productions,7,120,2017,"The film stars Vijay and Keerthy Suresh in the lead roles, while Sathish, Jagapathi Babu, Daniel Balaji, Mime Gopi, Sriman and Sija Roseamongst others play supporting roles. The music is composed by Santhosh Narayanan, the cinematography is handled by M. Sukumar and the film is edited by Praveen K. L."
Koditta Idangalai Nirappuga,Parthiban,"Shanthanu Bhagyaraj, Parvatii Nair, Parthiban, Thambi Ramaiah",Comedy thriller,Reel Estate Company & Bioscope Film Frames,7,29,2017,"RadhakrishnanParthiban’s films can be hit-and-miss affairs (mostly the latter because of his indulgences). His previous film, Kathai Thiraikathai Vasanam Iyakkam, worked very well as a quirky meta film. Koditta Idangalai Nirappuga is largely a miss, hitting the right notes only towards the end. It’s a hedonistic romantic drama with a climactic twist that lacks the zing such a genre-bending film needs."
Sivappu Enakku Pidikkum,Youreka,"Sandra Amy, Youreka",Drama,JSK Film Corporation & Youreka Film School,4.1,15,2017,"Director Youreka’s latest outing Sivappu Enakku Pidikkum has garnered more expectation on the film ever since the film has been discussed on online platforms. The film was completed two and half years ago, but wasn’t released yet. It is because of the controversial subject that the film is dealing with and finally the film will see the light of the day."
Adhe Kangal,Rohin Venkatesan,"Kalaiyarasan, Sshivada, Janani Iyer, Bala Saravanan",Crime thriller,Thirukumaran Entertainment,7.3,26,2017,"Adhe Kangal takes some time to pick up, and for a while, it is content at being a triangular romance. The pacing and the rhythm seem off in these portions, and we are unsure where things are headed. But then, the film turns into an investigative thriller. And slowly, propped by Ghibran’s score, the director and the film start finding their feet."
Bogan,Lakshman,"Jayam Ravi, Arvind Swamy, Hansika Motwani, Varun, Akshara Gowda",Supernatural thriller,Prabhu Deva Studios,6.8,56,2017,"It's funny that sometimes you expect something from a film after watching its teaser/trailer. But when you are at the theatre, it's a different ballgame altogether. Lakshman's Bogan is one such film, to begin with"
Enakku Vaaitha Adimaigal,Mahendran Rajamani,"Jai, Pranitha, Karunakaran, Kaali Venkat",Comedy,Vansan Movies,6.3,120,2017,"Enakku Vaaitha Adimaigal feels like a spiritual cousin to Kappal, which released a couple of years ago. In that film, we had three guys who were hell bent on breaking up the romance of their friend, and putting him in all sorts of trouble."
Si3,Hari,"Suriya, Shruti Haasan, Anushka Shetty, Thakur Anoop Singh",Action masala,Studio Green,7.8,134,2017,"A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission."
Pragamiyam,Prathap,"Prathap, Parvathy, Subha",Drama,Steel Toe Productions,8.2,74,2017,"Pragamiyam is a combination of art, directorial and commercial elements. While the film talks about love, it is from the subconscious mind. Also, it explores the relationship between a father and son by comparing them to the ruling government and people respectively."
Ennodu Vilayadu,Arun Krishnaswami,"Bharath, Kathir, Chandini Tamilarasan, Sanchita Shetty",Thriller drama,Toronto Reels & Reyan Studios,7.1,98,2017,"A compulsive gambler learns about a horse race that is going to be fixed, and tries to capitalise on it. Meanwhile, his friend gets into trouble over a bag containing Rs 50 lakh cash."
Kadhal Kan Kattuthe,Shivaraj,"KG, Athulya, Aneeruth",Romance,Kovai Film Mates,7.5,135,2017,"t’s always a pleasant surprise when a small film manages to punch above its weight. This refreshing little romance does this in an impressive manner, even while ticking all the genre indispensables. The film revolves around an ordinary boy and a girl, Shiva (KG) and Athulya (Athulya)."
Pagadi Aattam,Ram K. Chandran,"Rahman, Akhil, Gowri Nandha",Thriller,Bharani Movies & Marram Movies,5.5,25,2017,"Suriya is a spoiled brat who deceives girls in the name of romance. Born in a rich family, blessed with a pleasing look and charming behaviour, winning girls’ love is an effortless thing for him. Hailing from a middle-class family, Kousalya is one among such girls who falls into his trap."
Rum,Sai Bharath,"Hrishikesh, Sanchita Shetty, Narain, Miya",Horror,All In Pictures,6.2,156,2017,"Right from its opening scene, in which a couple of random men walk into a dilapidated house in the wilderness and die at the hands of a supernatural power, everything in Rum, a by-the-numbers horror comedy, feels so been there seen that. We have a group of people which goes into a forest and gets trapped in this house."
